Folder	Time Domain	HPS	FFT	Sample	Midi	HN Offset	Expected	TD	HPS	FFT	Praat	Average	Stdev	Use	Actual MIDI	+Cents	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=93.382295	MIDIPitchFraction=94.384513	MIDIPitchFraction=93.440403	MIDIKeyNumber=66	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	068-g#.wav	068-g#.wav	068-g#.wav	MIDIPitchFraction=93.382295	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 414.65 Hz	detected pitch = 414.55 Hz	detected pitch = 414.65 Hz	068-g#.wav	68.00	0.00	415.30	414.65	414.55	414.65		414.616666666667	0.06	414.616666666667	67.9712950438902	2.87049561098485	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=67	MIDIKeyNumber=67	MIDIKeyNumber=67	Detected = 414.65 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=97.268122	MIDIPitchFraction=96.854560	MIDIPitchFraction=97.262503	MIDIKeyNumber=67	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	069-a.wav	069-a.wav	069-a.wav	MIDIPitchFraction=97.268122	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 437.78 Hz	detected pitch = 437.99 Hz	detected pitch = 437.88 Hz	069-a.wav	69.00	0.00	440.00	437.78	437.99	437.88		437.883333333333	0.11	437.883333333333	68.9165161846518	8.34838153482025	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=68	MIDIKeyNumber=68	MIDIKeyNumber=68	Detected = 437.78 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=91.260599	MIDIPitchFraction=92.065426	MIDIPitchFraction=91.628442	MIDIKeyNumber=68	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	070-a#.wav	070-a#.wav	070-a#.wav	MIDIPitchFraction=91.260599	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 467.00 Hz	detected pitch = 467.27 Hz	detected pitch = 467.04 Hz	070-a#.wav	70.00	0.00	466.16	467.00	467.27	467.04		467.103333333333	0.15	467.103333333333	70.034858601072	-3.48586010719458	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=70	MIDIKeyNumber=70	MIDIKeyNumber=70	Detected = 467.00 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=3.114440	MIDIPitchFraction=4.086483	MIDIPitchFraction=3.240692	MIDIKeyNumber=70	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	071-b.wav	071-b.wav	071-b.wav	MIDIPitchFraction=3.114440	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 493.55 Hz	detected pitch = 493.65 Hz	detected pitch = 493.59 Hz	071-b.wav	71.00	0.00	493.88	493.55	493.65	493.59		493.596666666667	0.05	493.596666666667	70.9899495363761	1.00504636238838	
